Z:\Data_Julius\Stain Concentration Experiment 8_2_23\A08.daf
All

Object Number	Area_M01	Area_M02	Area_M03	Area_M04	Area_M05	Area_M06	Area_M07	Area_M08	Area_M09	Area_M10	Area_M11	Area_M12	Area_MC	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M03	Aspect Ratio_M04	Aspect Ratio_M05	Aspect Ratio_M06	Aspect Ratio_M07	Aspect Ratio_M08	Aspect Ratio_M09	Aspect Ratio_M10	Aspect Ratio_M11	Aspect Ratio_M12	Aspect Ratio Intensity_M01_Ch01	Aspect Ratio Intensity_M02_Ch02	Aspect Ratio Intensity_M03_Ch03	Aspect Ratio Intensity_M04_Ch04	Aspect Ratio Intensity_M05_Ch05	Aspect Ratio Intensity_M06_Ch06	Aspect Ratio Intensity_M07_Ch07	Aspect Ratio Intensity_M08_Ch08	Aspect Ratio Intensity_M09_Ch09	Aspect Ratio Intensity_M10_Ch10	Aspect Ratio Intensity_M11_Ch11	Aspect Ratio Intensity_M12_Ch12	Bkgd Mean_Ch01	Bkgd Mean_Ch02	Bkgd Mean_Ch03	Bkgd Mean_Ch04	Bkgd Mean_Ch05	Bkgd Mean_Ch06	Bkgd Mean_Ch07	Bkgd Mean_Ch08	Bkgd Mean_Ch09	Bkgd Mean_Ch10	Bkgd Mean_Ch11	Bkgd Mean_Ch12	Modulation_M01_Ch01	Modulation_M02_Ch02	Modulation_M03_Ch03	Modulation_M04_Ch04	Modulation_M05_Ch05	Modulation_M06_Ch06	Modulation_M07_Ch07	Modulation_M08_Ch08	Modulation_M09_Ch09	Modulation_M10_Ch10	Modulation_M11_Ch11	Modulation_M12_Ch12	Contrast_M01_Ch01	Contrast_M02_Ch02	Contrast_M03_Ch03	Contrast_M04_Ch04	Contrast_M05_Ch05	Contrast_M06_Ch06	Contrast_M07_Ch07	Contrast_M08_Ch08	Contrast_M09_Ch09	Contrast_M10_Ch10	Contrast_M11_Ch11	Contrast_M12_Ch12	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M03_Ch03	Gradient RMS_M04_Ch04	Gradient RMS_M05_Ch05	Gradient RMS_M06_Ch06	Gradient RMS_M07_Ch07	Gradient RMS_M08_Ch08	Gradient RMS_M09_Ch09	Gradient RMS_M10_Ch10	Gradient RMS_M11_Ch11	Gradient RMS_M12_Ch12	Intensity_MC_Ch01	Intensity_MC_Ch02	Intensity_MC_Ch03	Intensity_MC_Ch04	Intensity_MC_Ch05	Intensity_MC_Ch06	Intensity_MC_Ch07	Intensity_MC_Ch08	Intensity_MC_Ch09	Intensity_MC_Ch10	Intensity_MC_Ch11	Intensity_MC_Ch12	Mean Pixel_M01_Ch01	Mean Pixel_M02_Ch02	Mean Pixel_M03_Ch03	Mean Pixel_M04_Ch04	Mean Pixel_M05_Ch05	Mean Pixel_M06_Ch06	Mean Pixel_M07_Ch07	Mean Pixel_M08_Ch08	Mean Pixel_M09_Ch09	Mean Pixel_M10_Ch10	Mean Pixel_M11_Ch11	Mean Pixel_M12_Ch12	Median Pixel_M01_Ch01	Median Pixel_M02_Ch02	Median Pixel_M03_Ch03	Median Pixel_M04_Ch04	Median Pixel_M05_Ch05	Median Pixel_M06_Ch06	Median Pixel_M07_Ch07	Median Pixel_M08_Ch08	Median Pixel_M09_Ch09	Median Pixel_M10_Ch10	Median Pixel_M11_Ch11	Median Pixel_M12_Ch12	Max Pixel_MC_Ch01	Max Pixel_MC_Ch02	Max Pixel_MC_Ch03	Max Pixel_MC_Ch04	Max Pixel_MC_Ch05	Max Pixel_MC_Ch06	Max Pixel_MC_Ch07	Max Pixel_MC_Ch08	Max Pixel_MC_Ch09	Max Pixel_MC_Ch10	Max Pixel_MC_Ch11	Max Pixel_MC_Ch12	Raw Max Pixel_MC_Ch01	Raw Max Pixel_MC_Ch02	Raw Max Pixel_MC_Ch03	Raw Max Pixel_MC_Ch04	Raw Max Pixel_MC_Ch05	Raw Max Pixel_MC_Ch06	Raw Max Pixel_MC_Ch07	Raw Max Pixel_MC_Ch08	Raw Max Pixel_MC_Ch09	Raw Max Pixel_MC_Ch10	Raw Max Pixel_MC_Ch11	Raw Max Pixel_MC_Ch12	Raw Min Pixel_MC_Ch01	Raw Min Pixel_MC_Ch02	Raw Min Pixel_MC_Ch03	Raw Min Pixel_MC_Ch04	Raw Min Pixel_MC_Ch05	Raw Min Pixel_MC_Ch06	Raw Min Pixel_MC_Ch07	Raw Min Pixel_MC_Ch08	Raw Min Pixel_MC_Ch09	Raw Min Pixel_MC_Ch10	Raw Min Pixel_MC_Ch11	Raw Min Pixel_MC_Ch12	Length_M01	Length_M02	Length_M03	Length_M04	Length_M05	Length_M06	Length_M07	Length_M08	Length_M09	Length_M10	Length_M11	Length_M12	Width_M01	Width_M02	Width_M03	Width_M04	Width_M05	Width_M06	Width_M07	Width_M08	Width_M09	Width_M10	Width_M11	Width_M12	Height_M01	Height_M02	Height_M03	Height_M04	Height_M05	Height_M06	Height_M07	Height_M08	Height_M09	Height_M10	Height_M11	Height_M12	Saturation Count_M01_Ch01	Saturation Count_M02_Ch02	Saturation Count_M03_Ch03	Saturation Count_M04_Ch04	Saturation Count_M05_Ch05	Saturation Count_M06_Ch06	Saturation Count_M07_Ch07	Saturation Count_M08_Ch08	Saturation Count_M09_Ch09	Saturation Count_M10_Ch10	Saturation Count_M11_Ch11	Saturation Count_M12_Ch12	Saturation Percent_M01_Ch01	Saturation Percent_M02_Ch02	Saturation Percent_M03_Ch03	Saturation Percent_M04_Ch04	Saturation Percent_M05_Ch05	Saturation Percent_M06_Ch06	Saturation Percent_M07_Ch07	Saturation Percent_M08_Ch08	Saturation Percent_M09_Ch09	Saturation Percent_M10_Ch10	Saturation Percent_M11_Ch11	Saturation Percent_M12_Ch12	Bright Detail Intensity R3_MC_Ch01	Bright Detail Intensity R3_MC_Ch02	Bright Detail Intensity R3_MC_Ch03	Bright Detail Intensity R3_MC_Ch04	Bright Detail Intensity R3_MC_Ch05	Bright Detail Intensity R3_MC_Ch06	Bright Detail Intensity R3_MC_Ch07	Bright Detail Intensity R3_MC_Ch08	Bright Detail Intensity R3_MC_Ch09	Bright Detail Intensity R3_MC_Ch10	Bright Detail Intensity R3_MC_Ch11	Bright Detail Intensity R3_MC_Ch12	Time	Raw Centroid X	Raw Centroid Y	Flow Speed
0	4,77777777777778	2	0	0	0	0	0	0	3	0	0	6,77777777777778	7,55555555555555	0,56078435070547	0,478091443733757	0	0	0	0	0	0	0,54226783267667	0	0	0,752155644439992	0,552664831063431	0,700827968257987	0	0	0	0	0	0	0,636199239147301	0	0	0,681677708697807	752,305555555556	6,42361111111111	28,6527777777778	28,7013888888889	29,7638888888889	28,25	42,5763888888889	32,2986111111111	774,338028169014	30,3472222222222	30,75	30,1111111111111	0,106709265175719	0,652173913043478	0	0	0	0	0	0	0,0386151797603196	0	0	0,726141078838174	18,4913156357313	636,515042979943	0	0	0	0	0	0	0,983554679209232	0	0	265,067547667525	71,0303419226666	56,9294159932055	0	0	0	0	0	0	66,3809453084329	0	0	52,4261539517435	-71,7777777777769	206,194444444444	-9,38888888888894	7,30555555555553	-23,9444444444445	14	-0,19444444444423	-51,3055555555558	-272,985915492961	-35,6111111111111	-17	2234,44444444444	-2,11950904392764	9,57638888888889	0	0	0	0	0	0	-11,5232133541993	0	0	36,5610200364298	-6,30555555555554	7,57638888888889	0	0	0	0	0	0	-4,33802816901414	0	0	16,8888888888889	117,694444444444	31,5763888888889	2,34722222222222	1,29861111111111	4,23611111111111	3,75	4,42361111111111	1,70138888888889	7,66197183098586	2,65277777777778	3,25	179,888888888889	870	38	31	30	34	32	47	34	782	33	34	210	678	4	25	26	26	24	38	28	722	28	28	30	4,33333333333333	2	0	0	0	0	0	0	2	0	0	3,33333333333333	2,33333333333333	1	0	0	0	0	0	0	1,66666666666667	0	0	2,66666666666667	4,33333333333333	2	0	0	0	0	0	0	2	0	0	3,33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	918,99999833107	245	132,999998450279	72,9999997019768	167	169	157,999999523163	61	366,999997615814	95,0000014305115	95	1980,99999856949	0	17,5025641025641	5,28205128205128	32,9387592899411
1	4,88888888888889	2,22222222222222	0	0	0	0	0	0	3,44444444444444	0	0	6,66666666666667	7,77777777777778	0,712349990588878	0,790569415042095	0	0	0	0	0	0	0,664745132825202	0	0	0,828892528291235	0,805691852890695	0,852963683247365	0	0	0	0	0	0	0,679662831446527	0	0	0,683358409884475	744,375	7,27777777777778	28,1875	28,6458333333333	29,7083333333333	28,6597222222222	42,7361111111111	32,5555555555556	766,430555555556	29,8333333333333	30,6180555555556	30,2013888888889	0,207861822513401	0,625	0	0	0	0	0	0	0,0444743935309973	0	0	0,81360201511335	58,6288923089284	799,323043595992	0	0	0	0	0	0	2,08323625306769	0	0	261,348437915783	72,7218443962329	56,2870973061031	0	0	0	0	0	0	63,4877401746521	0	0	48,5548062620444	-135,25	262,555555555556	43,875	-3,20833333333325	16,4166666666667	11,8194444444445	-15,527777777778	0,111111111111001	-336,138888888888	-14,3333333333333	-48,263888888889	4964,90277777778	-3,60227272727273	10,1222222222222	0	0	0	0	0	0	-10,4305555555555	0	0	81,2986111111112	-9,375	7,22222222222222	0	0	0	0	0	0	-5,43055555555554	0	0	43,7986111111111	270,625	31,7222222222222	3,8125	2,35416666666667	4,29166666666667	3,34027777777778	6,26388888888889	2,44444444444444	10,5694444444445	2,16666666666667	1,38194444444444	343,798611111111	1015	39	32	31	34	32	49	35	777	32	32	374	647	6	26	27	25	23	35	30	709	28	27	31	2,66666666666667	1,66666666666667	0	0	0	0	0	0	2,66666666666667	0	0	3	2,33333333333333	1,33333333333333	0	0	0	0	0	0	1,66666666666667	0	0	2,66666666666667	2,66666666666667	1,66666666666667	0	0	0	0	0	0	2,66666666666667	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1439	250	132	112	186,999999165535	153,000000119209	129	76	474,999999284744	60,9999995827675	57	3765,00002145767	1,77648	14,5125	8,925	33,3392305275088
2	6,66666666666667	4,88888888888889	0	0	0	0	0	1,66666666666667	5,88888888888889	0	0	7,33333333333333	10,3333333333333	0,848471482489144	0,855050866369998	0	0	0	0	0	0,577350269189626	0,667116008216529	0	0	0,711256664627194	0,89601719105055	0,725959293128642	0	0	0	0	0	0,710524160341451	0,717141946072841	0	0	0,681117783362332	731,422535211268	4,79166666666667	28,2986111111111	27,9652777777778	29,5694444444444	27,2291666666667	39,4513888888889	29,9652777777778	753,176056338028	33,1805555555556	31,6180555555556	30,1458333333333	0,0710144927536232	0,714285714285714	0	0	0	0	0	0,219512195121951	0,104542177361211	0	0	0,805	7,89785200175662	381,590763309814	0	0	0	0	0	45,9947655210881	3,06825096825738	0	0	164,618715070104	57,2401783289343	48,2642442600146	0	0	0	0	0	56,0271923767801	54,4686434103183	0	0	44,5587789660536	-1621,29577464789	604,375000000001	35,2291666666666	45,2291666666666	-16,9583333333332	73,6874999999997	76,0208333333336	147,229166666667	-1751,37323943661	50,2083333333332	64,5208333333332	6910,43750000001	-28,1725352112676	12,9356060606061	0	0	0	0	0	9,16805555555556	-32,5345469040658	0	0	102,08143939394	-19,9225352112676	11,2083333333333	0	0	0	0	0	8,03472222222222	-14,1760563380282	0	0	62,8541666666667	28,5774647887324	44,2083333333333	4,70138888888889	4,03472222222222	3,43055555555556	3,77083333333333	8,54861111111111	20,0347222222222	13,8239436619718	4,81944444444444	10,3819444444444	358,854166666667	760	49	33	32	33	31	48	50	767	38	42	389	639	3	25	26	26	25	36	26	599	31	27	29	3	2,66666666666667	0	0	0	0	0	1,66666666666667	3,33333333333333	0	0	3,33333333333333	2,66666666666667	2,33333333333333	0	0	0	0	0	1	3,33333333333333	0	0	2,66666666666667	3	2,66666666666667	0	0	0	0	0	1,66666666666667	3,33333333333333	0	0	3,33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1067,00001621246	545,000002264977	122	137	234	171,999999940395	324	255	589,999991893768	170	243	5026,99993503094	4,854776	30,6350574712644	7,45114942528736	33,9285231572482
3	5,66666666666667	2,11111111111111	0	0	0	0	0	0	4,66666666666667	0	0	7,88888888888889	8,55555555555555	0,961019246472655	0,774739225797095	0	0	0	0	0	0	0,78996402050397	0	0	0,707342189150764	0,85799231210799	0,718455688281583	0	0	0	0	0	0	0,798391848093574	0	0	0,645907423217344	728,0875	10,0625	28,95	29,3375	30,475	28,825	42,8	34,0875	751,65	27,05	27,775	29,1125	0,0533610533610534	0,414634146341463	0	0	0	0	0	0	0,0256064690026954	0	0	0,531914893617021	2,56903583929913	209,332644894798	0	0	0	0	0	0	0,784847601738956	0	0	60,050676056465	72,0927933471738	52,2659181519758	0	0	0	0	0	0	61,8041199347334	0	0	42,3771266818011	-384,737499999998	243,1875	32,85	-20,9874999999999	-26,5750000000001	26,4750000000001	19,4000000000002	63,2625000000001	-429,049999999998	9,14999999999995	-4,67499999999989	1656,3375	-7,75416666666664	9,35855263157895	0	0	0	0	0	0	-9,05476190476188	0	0	23,1269366197183	-7,08749999999998	9,9375	0	0	0	0	0	0	-7,64999999999998	0	0	15,8875	36,9125	18,9375	3,05	2,6625	3,525	3,175	2,2	2,9125	12,35	2,95	3,225	82,8875	765	29	32	32	34	32	45	37	764	30	31	112	682	8	26	27	25	26	41	32	718	25	25	30	3	1,66666666666667	0	0	0	0	0	0	2,66666666666667	0	0	3,33333333333333	2,66666666666667	1,33333333333333	0	0	0	0	0	0	2,33333333333333	0	0	2,66666666666667	3	1,66666666666667	0	0	0	0	0	0	2,66666666666667	0	0	3,33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896,999998569489	275	127	101,000000238419	217,999997973442	125	88,9999998211861	85	390,999998092651	100,999998271465	134	1240,00000476837	5,215163	2,625	7,32291666666667	34,0337978301652
4	4,55555555555556	4	0	0	0	0	0	0	6,44444444444444	0	0	10,3333333333333	11,6666666666667	0,792515927483803	0,845167812797296	0	0	0	0	0	0	0,88383310539776	0	0	0,826811024885287	0,724058027144549	0,862899483519728	0	0	0	0	0	0	0,826891179342398	0	0	0,839183996266017	707,708333333333	7,73611111111111	28,2361111111111	28,4861111111111	29,2777777777778	27,8194444444444	41,5833333333333	32,0138888888889	729,097222222222	30,5277777777778	30,1875	30,5486111111111	0,066480055983205	0,4375	0	0	0	0	0	0	0,0472926662097327	0	0	0,597938144329897	3,43379283787032	134,206676419737	0	0	0	0	0	0	1,56856114336087	0	0	48,0275314778473	78,2464717735395	45,5583946914671	0	0	0	0	0	0	74,7867012413268	0	0	37,128606978427	-99,375000000004	278,708333333334	17,2083333333333	-0,0416666666666252	21,8333333333333	31,9583333333335	-38,2500000000002	-112,458333333333	-410,208333333328	-32,4166666666667	14,3125	3722,39583333332	-1,36686991869922	6,23611111111111	0	0	0	0	0	0	-6,78687739463596	0	0	39,6664426523297	-2,70833333333337	5,26388888888889	0	0	0	0	0	0	-7,09722222222217	0	0	26,4513888888889	57,2916666666666	15,2638888888889	2,76388888888889	3,51388888888889	4,72222222222222	3,18055555555556	2,41666666666666	0,986111111111114	47,9027777777778	2,47222222222222	2,8125	139,451388888889	765	23	31	32	34	31	44	33	777	33	33	170	664	6	26	26	26	24	37	29	691	28	28	31	2,33333333333333	2,33333333333333	0	0	0	0	0	0	3	0	0	4	2,33333333333333	2	0	0	0	0	0	0	2,66666666666667	0	0	3,33333333333333	2,33333333333333	2,33333333333333	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1207,00000166893	233,000000596046	170	182	254,999997138977	266	180,999999165535	104	967,999995231628	110	140	1745,99996376038	10,913511	18,4874551971326	6,17921146953405	35,1075664859866
5	3,88888888888889	5,44444444444444	0	0	0	0	0	0	3,55555555555556	0	0	7,77777777777778	9,55555555555555	0,725832834738614	0,607419090155189	0	0	0	0	0	0	0,882719076741684	0	0	0,505928698093745	0,798417024047729	0,695160453656365	0	0	0	0	0	0	0,813720617499702	0	0	0,537048273187133	701,025	9,95625	28,8875	28,89375	30,075	28,7375	43,05	34,45625	722,3875	28,55625	29	30,025	0,0924117205108941	0,2	0	0	0	0	0	0	0,0302603800140746	0	0	0,209876543209877	3,96354422681818	26,9211350095931	0	0	0	0	0	0	0,280863566915464	0	0	7,93899179986384	72,7909468055177	28,506155173954	0	0	0	0	0	0	63,2975581157386	0	0	39,1972799051592	-173,149999999998	273,7625	128,675	70,1375000000002	24,5500000000001	24,5749999999999	330,7	520,7625	-84,3250000000039	75,1625000000001	72	520,850000000001	-9,16785714285712	4,18660714285714	0	0	0	0	0	0	-10,85625	0	0	7,21785714285715	1,97500000000002	4,04375	0	0	0	0	0	0	-9,88750000000005	0	0	5,975	25,975	8,04375	5,1125	3,10625	4,925	3,2625	11,95	11,54375	18,6125	3,44375	5	18,975	727	18	34	32	35	32	55	46	741	32	34	49	604	9	26	26	27	26	41	34	689	27	27	29	2,66666666666667	3,33333333333333	0	0	0	0	0	0	2	0	0	4,33333333333333	2	2,33333333333333	0	0	0	0	0	0	2	0	0	2,66666666666667	2,66666666666667	3,33333333333333	0	0	0	0	0	0	2	0	0	4,33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910,999998569489	164,999993085861	143,999998390675	135,999999880791	228	198,999999344349	259,999995529652	101,99999833107	601,999999046326	137	166	409,999999523163	12,874553	6,83333333333333	6,83333333333333	35,4315864812426
6	5,22222222222222	9,88888888888889	8,55555555555555	0	0	0	9,22222222222222	13,6666666666667	5,77777777777778	7,55555555555555	0	9,44444444444444	15,7777777777778	0,508576042596683	0,90701188451597	0,917376795162013	0	0	0	0,948176207280394	0,985287590578604	0,856691973746031	0,922826946091545	0	0,803672546385953	0,712147665042324	0,944436317251388	0,922183020775907	0	0	0	0,879389393850065	0,908398039477846	0,846114721295385	0,853655396105346	0	0,805303742867114	658,515625	8,27604166666667	28,4739583333333	28,5729166666667	29,6875	28,0208333333333	39,6302083333333	30,921875	677,557291666667	32,5	30,8333333333333	30,125	0,10808646917534	0,674418604651163	0,255813953488372	0	0	0	0,351724137931034	0,496598639455782	0,062407132243685	0,191011235955056	0	0,407407407407407	9,97325458461336	50,8473964443642	13,8796745423251	0	0	0	20,6866237608823	17,9501547602795	1,78769018276893	8,05334855289046	0	25,5425378003461	75,5345072782538	32,885826441464	31,8320757066215	0	0	0	36,0617518937751	31,5304513876707	71,2717712627946	30,8107280057901	0	40,7207525958468	35,78125	2286,80208333333	1024,69791666666	568,645833333334	453,375	157,041666666667	1827,51041666667	3543,09375	1147,86458333334	907	732,666666666665	1199,25	-2,57945478723404	23,4318235018726	11,7857819264069	0	0	0	19,3336470883534	28,338287601626	8,61578525641029	11,5	0	13,6044117647059	9,484375	17,7239583333333	9,52604166666667	0	0	0	13,3697916666667	20,078125	14,9427083333334	11	0	7,875	39,484375	66,7239583333333	26,5260416666667	12,4270833333333	13,3125	5,97916666666667	64,3697916666667	91,078125	44,4427083333334	20,5	15,1666666666667	52,875	698	75	55	41	43	34	104	122	722	53	46	83	491	8	27	27	26	25	40	31	619	31	30	29	6	3,66666666666667	3,33333333333333	0	0	0	3,33333333333333	4	3	3	0	3,33333333333333	2,66666666666667	3,33333333333333	3	0	0	0	3,33333333333333	4	3	3	0	3,33333333333333	6	3,66666666666667	3,33333333333333	0	0	0	3,33333333333333	4	3	3	0	3,33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1452	775,999975204468	397,999980866909	287,999990105629	416	259,999998688698	813,999980330467	1014	1695,99999696016	324	278,000014781952	789	28,138814	27,0042194092827	9,59493670886076	37,8041594804789
7	9,66666666666667	0	0	0	0	0	0	0	2	0	0	11,4444444444444	15	0,555063650022603	0	0	0	0	0	0	0	0,715190513036855	0	0	0,571443081719398	0,629098501254224	0	0	0	0	0	0	0	0,737181859482037	0	0	0,44273601962904	653,619791666667	8,296875	28,4895833333333	28,65625	29,5416666666667	27,7447916666667	38,7083333333333	29,9947916666667	673,635416666667	32,8541666666667	31,3541666666667	30,125	0,0278637770897833	0	0	0	0	0	0	0	0,0240496508921645	0	0	0,5	0,538324354739922	0	0	0	0	0	0	0	0,67195705823403	0	0	84,7676881539594	54,6754797758948	0	0	0	0	0	0	0	31,9956448381675	0	0	42,5642507966089	-479,671874999995	151,921875	-24,0937499999998	-58,59375	10,8749999999998	68,4531249999996	-92,6250000000004	-11,2968750000002	-839,781249999995	-48,3124999999997	-29,8125000000002	2439,125	-5,52783764367812	0	0	0	0	0	0	0	-25,5798611111111	0	0	23,3410194174757	-4,61979166666663	0	0	0	0	0	0	0	-26,6354166666666	0	0	16,875	12,3802083333334	7,703125	2,51041666666667	2,34375	4,45833333333333	4,25520833333333	2,29166666666666	3,00520833333333	6,36458333333337	2,14583333333334	2,64583333333333	92,875	666	16	31	31	34	32	41	33	680	35	34	123	628	6	26	26	25	25	34	27	629	30	28	29	9,33333333333333	0	0	0	0	0	0	0	1,66666666666667	0	0	4,66666666666667	5	0	0	0	0	0	0	0	1,33333333333333	0	0	3	7,33333333333333	0	0	0	0	0	0	0	1,66666666666667	0	0	4,66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	831,999999284744	207	210,999997258186	176	353,000001609325	250,999999523163	208,999997973442	191,999999046326	591,000001311302	187,999997496605	185,000001549721	1704	31,370573	29,8103448275862	7,44252873563218	38,1232611245545
8	6,66666666666667	2,22222222222222	0	0	0	0	0	0	3,55555555555556	0	0	3,66666666666667	6,77777777777778	0,94637257422654	0,548549930398659	0	0	0	0	0	0	0,888176832648345	0	0	0,769631643206428	0,930875817376456	0,524801199235621	0	0	0	0	0	0	0,807975722650366	0	0	0,579368533701411	645,548611111111	12,0555555555556	29,125	28,8263888888889	30,3125	28,6944444444444	41,6666666666667	33,9791666666667	664,430555555556	28,75	28,5277777777778	29,4652777777778	0,176880222841226	0,285714285714286	0	0	0	0	0	0	0,0781476121562952	0	0	0,215189873417722	18,7690609746412	111,270236612702	0	0	0	0	0	0	6,24194386472598	0	0	23,3260860812497	75,5954594744452	49,163016126796	0	0	0	0	0	0	77,685583600811	0	0	42,8362215394045	132,534722222224	233,611111111111	-0,625	13,5902777777778	-0,0625	33,638888888889	-7,66666666666652	15,2708333333335	20,7361111111119	-24,75	-10,1944444444445	393,618055555556	2,23472222222225	7,64444444444445	0	0	0	0	0	0	0,663194444444457	0	0	9,01957070707071	-8,54861111111109	6,94444444444444	0	0	0	0	0	0	-7,43055555555554	0	0	7,53472222222222	223,451388888889	14,9444444444444	2,875	3,17361111111111	3,6875	4,30555555555556	5,33333333333334	3,02083333333334	80,5694444444445	3,25	2,47222222222222	18,5347222222222	869	27	32	32	34	33	47	37	745	32	31	48	579	11	26	27	26	22	38	32	637	25	26	30	2,66666666666667	2	0	0	0	0	0	0	2	0	0	2,33333333333333	2,66666666666667	1,33333333333333	0	0	0	0	0	0	2	0	0	2	2,66666666666667	2	0	0	0	0	0	0	2	0	0	2,33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1655,99999761581	242	131	77,9999997615814	143	153	108,999999344349	78	699,999998807907	117	84	266,999995827675	34,989514	2,92121212121212	7,56363636363636	38,6218550829239
9	8,22222222222222	6	0	0	0	0	0	0	4,11111111111111	0	0	9,11111111111111	14,3333333333333	0,669389059265425	0,594126545340733	0	0	0	0	0	0	0,748669607160782	0	0	0,920155292390402	0,799962286462373	0,607006172682131	0	0	0	0	0	0	0,690495094863611	0	0	0,923469379110658	642,333333333333	8,99305555555556	28,7569444444444	28,6111111111111	29,6527777777778	28,1875	39,5625	30,9236111111111	661,152777777778	33,1597222222222	31,0625	30,4791666666667	0,0411171450737005	0,428571428571429	0	0	0	0	0	0	0,0466165413533835	0	0	0,445255474452555	1,20350586376739	91,7580999096424	0	0	0	0	0	0	1,3407855974388	0	0	24,4943744298409	77,7266425872941	43,150538032244	0	0	0	0	0	0	75,8117934320336	0	0	34,2011135912774	24,9999999999951	427,895833333334	-16,6458333333331	48,1666666666665	-10,2083333333334	33,8125	-92,5625	-26,1458333333333	-214,70833333334	-42,6041666666666	-39,0625	2316,1875	-0,360360360360398	7,26620370370371	0	0	0	0	0	0	-4,77439939939945	0	0	26,8866869918699	-0,833333333333371	5,50694444444444	0	0	0	0	0	0	-13,1527777777778	0	0	19,5208333333333	36,6666666666666	22,0069444444444	3,24305555555556	2,38888888888889	4,34722222222222	4,8125	1,4375	2,07638888888889	34,8472222222222	2,84027777777778	1,9375	76,5208333333333	679	31	32	31	34	33	41	33	696	36	33	107	609	7	26	27	26	25	36	28	634	30	28	29	4	3,33333333333333	0	0	0	0	0	0	2,66666666666667	0	0	3,66666666666667	3,66666666666667	2,33333333333333	0	0	0	0	0	0	2	0	0	3,33333333333333	4	3,33333333333333	0	0	0	0	0	0	2,66666666666667	0	0	3,66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1246,99999713898	453,000000476837	187	173	308,999996066093	292	191	155	811,000008225441	143,000000953674	172	1003,99997520447	37,403835	28,3518518518519	7,15277777777778	38,8171121864776
