replicate	starting_freq_I7	stained_isolate	predator 	time point	dilution	count_I7	count_I6	total	freq_I7	freq_I6					
B1	0.9	7	yes	0	6	205	34	239	0.857740586	0.142259414					
C1	0.9	7	yes	0	6	205	34	239	0.857740586	0.142259414					
D1	0.9	7	yes	0	6	205	34	239	0.857740586	0.142259414					
B2	0.5	7	yes	0	6	156	233	389	0.401028278	0.598971722					
C2	0.5	7	yes	0	6	156	233	389	0.401028278	0.598971722					
D2	0.5	7	yes	0	6	156	233	389	0.401028278	0.598971722					
B3	0.1	7	yes	0	5	25	493	518	0.048262548	0.951737452					
C3	0.1	7	yes	0	5	25	493	518	0.048262548	0.951737452					
D3	0.1	7	yes	0	5	25	493	518	0.048262548	0.951737452					
B4	0.9	7	no	0	6	205	34	239	0.857740586	0.142259414					
C4	0.9	7	no	0	6	205	34	239	0.857740586	0.142259414					
D4	0.9	7	no	0	6	205	34	239	0.857740586	0.142259414					
B5	0.5	7	no	0	6	156	233	389	0.401028278	0.598971722					
C5	0.5	7	no	0	6	156	233	389	0.401028278	0.598971722					
D5	0.5	7	no	0	6	156	233	389	0.401028278	0.598971722					
B6	0.1	7	no	0	5	25	493	518	0.048262548	0.951737452					
C6	0.1	7	no	0	5	25	493	518	0.048262548	0.951737452					
D6	0.1	7	no	0	5	25	493	518	0.048262548	0.951737452					
E1	0.9	6	yes	0	6	325	53	378	0.85978836	0.14021164					
F1	0.9	6	yes	0	6	325	53	378	0.85978836	0.14021164					
G1	0.9	6	yes	0	6	325	53	378	0.85978836	0.14021164					
E2	0.5	6	yes	0	6	190	278	468	0.405982906	0.594017094					
F2	0.5	6	yes	0	6	190	278	468	0.405982906	0.594017094					
G2	0.5	6	yes	0	6	190	278	468	0.405982906	0.594017094					
E3	0.1	6	yes	0	6	21	417	438	0.047945205	0.952054795					
F3	0.1	6	yes	0	6	21	417	438	0.047945205	0.952054795					
G3	0.1	6	yes	0	6	21	417	438	0.047945205	0.952054795					
E4	0.9	6	no	0	6	325	53	378	0.85978836	0.14021164					
F4	0.9	6	no	0	6	325	53	378	0.85978836	0.14021164					
G4	0.9	6	no	0	6	325	53	378	0.85978836	0.14021164					
E5	0.5	6	no	0	6	190	278	468	0.405982906	0.594017094					
F5	0.5	6	no	0	6	190	278	468	0.405982906	0.594017094					
G5	0.5	6	no	0	6	190	278	468	0.405982906	0.594017094					
E6	0.1	6	no	0	6	21	417	438	0.047945205	0.952054795					
F6	0.1	6	no	0	6	21	417	438	0.047945205	0.952054795					
G6	0.1	6	no	0	6	21	417	438	0.047945205	0.952054795					
B1	0.9	7	yes	1	6	102	24	126	0.810	0.190					
C1	0.9	7	yes	1	6	109	38	147	0.741	0.259					
D1	0.9	7	yes	1	5	229	6	235	0.974	0.026					
B2	0.5	7	yes	1	6	85	207	292	0.291	0.709					
C2	0.5	7	yes	1	6	81	150	231	0.351	0.649					
D2	0.5	7	yes	1	6	52	1	53	0.981	0.019					
B3	0.1	7	yes	1	6	7	161	168	0.042	0.958					
C3	0.1	7	yes	1	6	5	184	189	0.026	0.974					
D3	0.1	7	yes	1	6	62	3	65	0.954	0.046					
B4	0.9	7	no	1	6	113	26	139	0.813	0.187					
C4	0.9	7	no	1	6	164	43	207	0.792	0.208					
D4	0.9	7	no	1	7	18	20	38	0.474	0.526					
B5	0.5	7	no	1	6	65	125	190	0.342	0.658					
C5	0.5	7	no	1	6	89	166	255	0.349	0.651					
D5	0.5	7	no	1	5	279	24	303	0.921	0.079					
B6	0.1	7	no	1	6	16	279	295	0.054	0.946					
C6	0.1	7	no	1	6	12	162	174	0.069	0.931					
D6	0.1	7	no	1	5	32	41	73	0.438	0.562					
E1	0.9	6	yes	1	7	91	22	113	0.805	0.195					
F1	0.9	6	yes	1	7	179	40	219	0.817	0.183					
G1	0.9	6	yes	1	6	71	0	71	1.000	0.000					
E2	0.5	6	yes	1	7	56	95	151	0.371	0.629					
F2	0.5	6	yes	1	7	42	79	121	0.347	0.653					
G2	0.5	6	yes	1	5	155	9	164	0.945	0.055					
E3	0.1	6	yes	1	7	13	245	258	0.050	0.950					
F3	0.1	6	yes	1	7	3	120	123	0.024	0.976					
G3	0.1	6	yes	1	5	35	28	63	0.556	0.444					
E4	0.9	6	no	1	7	172	43	215	0.800	0.200					
F4	0.9	6	no	1	7	183	98	281	0.651	0.349					
G4	0.9	6	no	1	6	62	4	66	0.939	0.061					
E5	0.5	6	no	1	7	79	144	223	0.354	0.646					
F5	0.5	6	no	1	7	59	154	213	0.277	0.723					
G5	0.5	6	no	1	6	61	12	73	0.836	0.164					
E6	0.1	6	no	1	7	9	139	148	0.061	0.939					
F6	0.1	6	no	1	7	12	179	191	0.063	0.937					
G6	0.1	6	no	1	5	39	23	62	0.629	0.371					
B1	0.9	7	yes	2	6	121	40	161	0.752	0.248					
C1	0.9	7	yes	2	6	105	26	131	0.802	0.198					
D1	0.9	7	yes	2	6	29	18	47	0.617	0.383					
B2	0.5	7	yes	2	6	137	232	369	0.371	0.629					
C2	0.5	7	yes	2	6	53	165	218	0.243	0.757					
D2	0.5	7	yes	2	6	38	151	189	0.201	0.799					
B3	0.1	7	yes	2	6	22	290	312	0.071	0.929					
C3	0.1	7	yes	2	6	7	237	244	0.029	0.971					
D3	0.1	7	yes	2	6	4	158	162	0.025	0.975					
B4	0.9	7	no	2	5	316	142	458	0.690	0.310					
C4	0.9	7	no	2	6	152	49	201	0.756	0.244					
D4	0.9	7	no	2	7	92	19	111	0.829	0.171					
B5	0.5	7	no	2	6	60	193	253	0.237	0.763					
C5	0.5	7	no	2	6	92	181	273	0.337	0.663					
D5	0.5	7	no	2	7	21	45	66	0.318	0.682					
B6	0.1	7	no	2	6	11	403	414	0.027	0.973					
C6	0.1	7	no	2	6	22	321	343	0.064	0.936					
D6	0.1	7	no	2	7	1	60	61	0.016	0.984					
E1	0.9	6	yes	2	6	304	51	355	0.856	0.144					
F1	0.9	6	yes	2	6	344	60	404	0.851	0.149					
G1	0.9	6	yes	2	6	46	31	77	0.597	0.403					
E2	0.5	6	yes	2	7	239	247	486	0.492	0.508					
F2	0.5	6	yes	2	7	132	111	243	0.543	0.457					
G2	0.5	6	yes	2	6	41	146	187	0.219	0.781					
E3	0.1	6	yes	2	7	53	477	530	0.100	0.900					
F3	0.1	6	yes	2	7	20	198	218	0.092	0.908					
G3	0.1	6	yes	2	6	5	75	80	0.063	0.938					
E4	0.9	6	no	2	7	150	19	169	0.888	0.112					
F4	0.9	6	no	2	7	178	28	206	0.864	0.136					
G4	0.9	6	no	2	6	60	27	87	0.690	0.310					
E5	0.5	6	no	2	7	86	109	195	0.441	0.559					
F5	0.5	6	no	2	7	150	150	300	0.500	0.500					
G5	0.5	6	no	2	6	27	148	175	0.154	0.846					
E6	0.1	6	no	2	6	11	349	360	0.031	0.969					
F6	0.1	6	no	2	7	12	204	216	0.056	0.944					
G6	0.1	6	no	2	7	8	77	85	0.094	0.906					
B1	0.9	7	yes	3	6	77	33	110	0.700	0.300					
C1	0.9	7	yes	3	7	101	20	121	0.835	0.165					
D1	0.9	7	yes	3	6	100	0	100	1.000	0.000					
B2	0.5	7	yes	3	7	37	66	103	0.359	0.641					
C2	0.5	7	yes	3	6	57	168	225	0.253	0.747					
D2	0.5	7	yes	3	6	16	0	41	0.902	0.098					
B3	0.1	7	yes	3	7	9	99	108	0.083	0.917					
C3	0.1	7	yes	3	6	8	226	234	0.034	0.966					
D3	0.1	7	yes	3	7	1	0	28	0.607	0.393					
B4	0.9	7	no	3	6	129	32	161	0.801	0.199					
C4	0.9	7	no	3	6	112	55	167	0.671	0.329					
D4	0.9	7	no	3	6	64	0	64	1.000	0.000					
B5	0.5	7	no	3	6	55	159	214	0.257	0.743					
C5	0.5	7	no	3	7	201	183	384	0.523	0.477					
D5	0.5	7	no	3	6	33	2	35	0.943	0.057					
B6	0.1	7	no	3	7	31	243	274	0.113	0.887					
