starting_freq_I7	stained_isolate	predator	time.point	dilution	count_I7	count_I6	total	freq_I7	freq_I6	cell_concentration	replicate	density_I6	density_I7	rel_fitness	freq_I7_previous
0.9	7	yes	0	6	205	34	239	0.858	0.142	45961538.462	B1	6526538.461603999	39435000.000396	0	0.858
0.9	7	yes	1	6	102	24	126	0.81	0.19	39375000	B1	7481250	31893750.000000004	-0.1743834331903516	0.858
0.9	7	yes	2	6	121	40	161	0.752	0.248	50312500	B1	12477500	37835000	-0.17035129886057035	0.81
0.9	7	yes	3	6	77	33	110	0.7	0.3	34375000	B1	10312500	24062500	-0.131004858698827	0.752
0.9	7	yes	4	6	166	37	203	0.818	0.182	63437500	B1	11545625	51891875	0.327778894569374	0.7
0.9	7	yes	5	7	18	3	21	0.857	0.143	32812500	B1	4692187.5	28120312.5	0.1438688194059604	0.818
0.5	7	yes	0	6	156	233	389	0.401	0.599	74807692.308	B2	44809807.692492	29997884.615508	0	0.401
0.5	7	yes	1	6	85	207	292	0.291	0.709	91250000	B2	64696250	26553750	-0.2446160442758774	0.401
0.5	7	yes	2	6	137	232	369	0.371	0.629	115312500	B2	72531562.5	42780937.5	0.18130153263381482	0.291
0.5	7	yes	3	7	37	66	103	0.359	0.641	160937500	B2	103160937.5	57776562.5	-0.025888937169692844	0.371
0.5	7	yes	4	7	39	59	98	0.398	0.602	153125000	B2	92181250	60943750	0.08295081420400394	0.359
0.5	7	yes	5	7	24	53	77	0.312	0.688	120312500	B2	82775000	37537500	-0.18849010504973898	0.398
0.1	7	yes	0	6	25	493	518	0.048	0.952	99615384.615	B3	94833846.15348	4781538.461519999	0	0.048
0.1	7	yes	1	6	7	161	168	0.042	0.958	52500000	B3	50295000	2205000	-0.0699070679020089	0.048
0.1	7	yes	2	6	22	290	312	0.071	0.929	97500000	B3	90577500	6922499.999999999	0.2778746489574844	0.042
0.1	7	yes	3	7	9	99	108	0.083	0.917	168750000	B3	154743750	14006250	0.08458099865632818	0.071
0.1	7	yes	4	6	2	180	182	0.011	0.989	56875000	B3	56249375	625625	-1.0482660971822373	0.083
0.1	7	yes	5	7	7	85	92	0.076	0.924	143750000	B3	132825000	10925000	1.0004101637344942	0.011
0.9	7	no	0	6	205	34	239	0.858	0.142	45961538.462	B4	6526538.461603999	39435000.000396	0	0.858
0.9	7	no	1	6	113	26	139	0.813	0.187	43437500	B4	8122812.5	35314687.5	-0.16457727459673882	0.858
0.9	7	no	2	5	316	142	458	0.69	0.31	28625000	B4	8873750	19751250	-0.3347515962905554	0.813
0.9	7	no	3	6	129	32	161	0.801	0.199	50312500	B4	10012187.5	40300312.5	0.2962184111158768	0.69
0.9	7	no	4	6	137	48	185	0.741	0.259	57812500	B4	14973437.5	42839062.5	-0.17069177937365887	0.801
0.9	7	no	5	7	34	5	39	0.872	0.128	60937500	B4	7800000	53137500	0.4337932981964067	0.741
0.5	7	no	0	6	156	233	389	0.401	0.599	74807692.308	B5	44809807.692492	29997884.615508	0	0.401
0.5	7	no	1	6	65	125	190	0.342	0.658	59375000	B5	39068750	20306250	-0.126547011726916	0.401
0.5	7	no	2	6	60	193	253	0.237	0.763	79062500	B5	60324687.5	18737812.5	-0.2574018479433069	0.342
0.5	7	no	3	6	55	159	214	0.257	0.743	66875000	B5	49688125	17186875	0.05378896516339323	0.237
0.5	7	no	4	6	61	188	249	0.245	0.755	77812500	B5	58748437.5	19064062.5	-0.03191978944087917	0.257
0.5	7	no	5	7	12	43	55	0.218	0.782	85937500	B5	67203125	18734375	-0.07595006952596213	0.245
0.1	7	no	0	5	25	493	518	0.048	0.952	19923076.923	B6	18966769.230696	956307.692304	0	0.048
0.1	7	no	1	6	16	279	295	0.054	0.946	92187500	B6	87209375	4978125	0.062052750697935255	0.048
0.1	7	no	2	6	11	403	414	0.027	0.973	129375000	B6	125881875	3493125	-0.360644346847036	0.054
0.1	7	no	3	7	31	243	274	0.113	0.887	428125000	B6	379746875	48378125	0.7620450262922185	0.027
0.1	7	no	4	7	3	113	116	0.026	0.974	181250000	B6	176537500	4712500	-0.781428801011907	0.113
0.1	7	no	5	7	4	151	155	0.026	0.974	242187500	B6	235890625	6296875	0	0.026
0.9	7	yes	0	6	205	34	239	0.858	0.142	45961538.462	C1	6526538.461603999	39435000.000396	0	0.858
0.9	7	yes	1	6	109	38	147	0.741	0.259	45937500	C1	11897812.5	34039687.5	-0.37380223914507626	0.858
0.9	7	yes	2	6	105	26	131	0.802	0.198	40937500	C1	8105625	32831875.000000004	0.17383450678771512	0.741
0.9	7	yes	3	7	101	20	121	0.835	0.165	189062500	C1	31195312.5	157867187.5	0.11132233688914772	0.802
0.9	7	yes	4	6	64	33	97	0.66	0.34	30312500	C1	10306250	20006250	-0.47909601677000546	0.835
0.9	7	yes	5	9	46	12	58	0.793	0.207	2265625000	C1	468984375	1796640625	0.3399051054796074	0.66
0.5	7	yes	0	6	156	233	389	0.401	0.599	74807692.308	C2	44809807.692492	29997884.615508	0	0.401
0.5	7	yes	1	6	81	150	231	0.351	0.649	72187500	C2	46849687.5	25337812.5	-0.10667316121467199	0.401
0.5	7	yes	2	6	53	165	218	0.243	0.757	68125000	C2	51570625	16554375	-0.26082765842933814	0.351
0.5	7	yes	3	6	57	168	225	0.253	0.747	70312500	C2	52523437.5	17789062.5	0.026813056845801597	0.243
0.5	7	yes	4	7	36	109	145	0.248	0.752	226562500	C2	170375000	56187500	-0.013315940689780259	0.253
0.5	7	yes	5	9	62	92	154	0.403	0.597	6015625000	C2	3591328125	2424296875	0.35816351316946937	0.248
0.1	7	yes	0	6	25	493	518	0.048	0.952	99615384.615	C3	94833846.15348	4781538.461519999	0	0.048
0.1	7	yes	1	6	5	184	189	0.026	0.974	59062500	C3	57526875	1535625	-0.31797537086878924	0.048
0.1	7	yes	2	6	7	237	244	0.029	0.971	76250000	C3	74038750	2211250	0.05614206365810115	0.026
0.1	7	yes	3	6	8	226	234	0.034	0.966	73125000	C3	70638750	2486250	0.08211366435424715	0.029
0.1	7	yes	4	8	16	209	225	0.071	0.929	1757812500	C3	1633007812.5	124804687.49999999	0.3876872239119167	0.034
0.1	7	yes	5	9	6	107	113	0.053	0.947	4414062500	C3	4180117187.5	233945312.5	-0.15578915893071665	0.071
0.9	7	no	0	6	205	34	239	0.858	0.142	45961538.462	C4	6526538.461603999	39435000.000396	0	0.858
0.9	7	no	1	6	164	43	207	0.792	0.208	64687500	C4	13455000	51232500	-0.2308768648867969	0.858
0.9	7	no	2	6	152	49	201	0.756	0.244	62812500	C4	15326250	47486250	-0.10307508061338841	0.792
0.9	7	no	3	6	112	55	167	0.671	0.329	52187500	C4	17169687.5	35017812.5	-0.2090808823400106	0.756
0.9	7	no	4	7	124	40	164	0.756	0.244	256250000	C4	62525000	193725000	0.20908088234001065	0.671
0.9	7	no	5	7	33	14	47	0.702	0.298	73437500	C4	21884375	51553125	-0.13701661668296228	0.756
0.5	7	no	0	6	156	233	389	0.401	0.599	74807692.308	C5	44809807.692492	29997884.615508	0	0.401
0.5	7	no	1	6	89	166	255	0.349	0.651	79687500	C5	51876562.5	27810937.5	-0.11106877459863103	0.401
0.5	7	no	2	6	92	181	273	0.337	0.663	85312500	C5	56562187.5	28750312.5	-0.026627169913679367	0.349
0.5	7	no	3	7	201	183	384	0.523	0.477	600000000	C5	286200000	313800000	0.3843785165050413	0.337
0.5	7	no	4	7	31	125	156	0.199	0.801	243750000	C5	195243750	48506250	-0.7423105477602242	0.523
0.5	7	no	5	8	65	200	265	0.245	0.755	2070312500	C5	1563085937.5	507226562.5	0.13354829181978456	0.199
