well	row	ratio	stained	total	time.point	sample	stained_isolate	predator	starting_freq_I7	freq_I7	freq_I6	rel_fitness	freq_I7_previous	replicate
1	A	1	2000	2000	0	1	6	NO	0	0	1	NA	0	A1
7	A	0.996	1992	2000	1	1	6	NO	0	0.0040000000000000036	0.996	Inf	0	A1
1	A	0.9975	1995	2000	2	1	6	NO	0	0.0024999999999999467	0.9975	-0.23575426021258905	0.0040000000000000036	A1
7	A	0.9955	1991	2000	3	1	6	NO	0	0.0044999999999999485	0.9955	0.29489684508094827	0.0024999999999999467	A1
1	A	0.922	1844	2000	4	1	6	NO	0	0.07799999999999996	0.922	1.464665664930493	0.0044999999999999485	A1
7	A	0.993	1986	2000	5	1	6	NO	0	0.007000000000000006	0.993	-1.242492059061428	0.07799999999999996	A1
2	A	0.0805	161	2000	0	2	6	NO	0	0.9195	0.08050000000000002	0	0.9195	A2
8	A	0.0255	51	2000	1	2	6	NO	0	0.9745	0.025499999999999967	0.6038366035816893	0.9195	A2
2	A	0.007	14	2000	2	2	6	NO	0	0.993	0.007000000000000006	0.6557872241033111	0.9745	A2
8	A	0.01	20	2000	3	2	6	NO	0	0.99	0.010000000000000009	-0.17985033242763468	0.993	A2
2	A	0.011	22	2000	4	2	6	NO	0	0.989	0.01100000000000001	-0.04816039565512422	0.99	A2
8	A	0.0235	47	2000	5	2	6	NO	0	0.9765	0.023499999999999965	-0.38591236482885943	0.989	A2
3	A	0.6921397379912664	317	458	0	3	0	NO	0	0.6921397379912664	0.3078602620087336	0	0.6921397379912664	A3
9	A	0.6682242990654206	143	214	1	3	0	NO	0	0.6682242990654206	0.3317757009345794	-0.05498856514026017	0.6921397379912664	A3
3	A	0.2721649484536082	132	485	2	3	0	NO	0	0.2721649484536082	0.7278350515463918	-0.8419154437827592	0.6682242990654206	A3
9	A	0.31368821292775667	165	526	3	3	0	NO	0	0.31368821292775667	0.6863117870722433	0.10036682495731304	0.2721649484536082	A3
3	A	0.29911699779249445	271	906	4	3	0	NO	0	0.29911699779249445	0.7008830022075055	-0.03428684679034537	0.31368821292775667	A3
9	A	0.3400286944045911	237	697	5	3	0	NO	0	0.3400286944045911	0.6599713055954088	0.09416991483249068	0.29911699779249445	A3
4	A	0.4649805447470817	239	514	0	4	0	YES	0	0.4649805447470817	0.5350194552529183	0	0.4649805447470817	A4
10	A	0.40942028985507245	113	276	1	4	0	YES	0	0.40942028985507245	0.5905797101449275	-0.11302741817968062	0.4649805447470817	A4
4	A	0.14	49	350	2	4	0	YES	0	0.14	0.86	-0.7244637922719136	0.40942028985507245	A4
10	A	0.2366412213740458	124	524	3	4	0	YES	0	0.2366412213740458	0.7633587786259541	0.3220534925676519	0.14	A4
4	A	0.4339622641509434	230	530	4	4	0	YES	0	0.4339622641509434	0.5660377358490566	0.45273990788496965	0.2366412213740458	A4
