,file,ratio,stained,total
0,/Start & TP01/A01.txt,1.0,2000,2000
1,/Start & TP01/A02.txt,0.0805,161,2000
2,/Start & TP01/A03.txt,0.6921397379912664,317,458
3,/Start & TP01/A04.txt,0.4649805447470817,239,514
4,/Start & TP01/A05.txt,0.9975,1995,2000
5,/Start & TP01/A06.txt,0.0255,51,2000
6,/Start & TP01/A07.txt,0.996,1992,2000
7,/Start & TP01/A08.txt,0.0255,51,2000
8,/Start & TP01/A09.txt,0.6682242990654206,143,214
9,/Start & TP01/A10.txt,0.40942028985507245,113,276
10,/Start & TP01/A11.txt,0.9925,1985,2000
11,/Start & TP01/A12.txt,0.0335,67,2000
12,/Start & TP01/B01.txt,0.924,1848,2000
13,/Start & TP01/B02.txt,0.588,1176,2000
14,/Start & TP01/B03.txt,0.182,364,2000
15,/Start & TP01/B04.txt,0.934,1868,2000
16,/Start & TP01/B05.txt,0.611,1222,2000
17,/Start & TP01/B06.txt,0.2,400,2000
18,/Start & TP01/B07.txt,0.853,1706,2000
19,/Start & TP01/B08.txt,0.4365,873,2000
20,/Start & TP01/B09.txt,0.116,232,2000
21,/Start & TP01/B10.txt,0.8335,1667,2000
22,/Start & TP01/B11.txt,0.4025,805,2000
23,/Start & TP01/B12.txt,0.1,200,2000
24,/Start & TP01/C01.txt,0.9035,1807,2000
25,/Start & TP01/C02.txt,0.5985,1197,2000
26,/Start & TP01/C03.txt,0.1765,353,2000
27,/Start & TP01/C04.txt,0.9195,1839,2000
28,/Start & TP01/C05.txt,0.6235,1247,2000
29,/Start & TP01/C06.txt,0.2015,403,2000
30,/Start & TP01/C07.txt,0.8545,1709,2000
31,/Start & TP01/C08.txt,0.45,900,2000
32,/Start & TP01/C09.txt,0.119,238,2000
33,/Start & TP01/C10.txt,0.8375,1675,2000
34,/Start & TP01/C11.txt,0.405,810,2000
35,/Start & TP01/C12.txt,0.095,190,2000
36,/Start & TP01/D01.txt,0.9165,1833,2000
37,/Start & TP01/D02.txt,0.621,1242,2000
38,/Start & TP01/D03.txt,0.1695,339,2000
39,/Start & TP01/D04.txt,0.9255,1851,2000
40,/Start & TP01/D05.txt,0.6485,1297,2000
41,/Start & TP01/D06.txt,0.1975,395,2000
42,/Start & TP01/D07.txt,0.8775,1755,2000
43,/Start & TP01/D08.txt,0.42,840,2000
44,/Start & TP01/D09.txt,0.1055,211,2000
45,/Start & TP01/D10.txt,0.8275,1655,2000
46,/Start & TP01/D11.txt,0.4075,815,2000
47,/Start & TP01/D12.txt,0.0985,197,2000
48,/Start & TP01/E01.txt,0.2335,467,2000
49,/Start & TP01/E02.txt,0.6955,1391,2000
50,/Start & TP01/E03.txt,0.9505,1901,2000
51,/Start & TP01/E04.txt,0.2115,423,2000
52,/Start & TP01/E05.txt,0.6255,1251,2000
53,/Start & TP01/E06.txt,0.9415,1883,2000
54,/Start & TP01/E07.txt,0.246,492,2000
55,/Start & TP01/E08.txt,0.756,1512,2000
56,/Start & TP01/E09.txt,0.959,1918,2000
57,/Start & TP01/E10.txt,0.3,600,2000
58,/Start & TP01/E11.txt,0.709,1418,2000
59,/Start & TP01/E12.txt,0.954,1908,2000
60,/Start & TP01/F01.txt,0.213,426,2000
61,/Start & TP01/F02.txt,0.7055,1411,2000
62,/Start & TP01/F03.txt,0.961,1922,2000
63,/Start & TP01/F04.txt,0.2065,413,2000
64,/Start & TP01/F05.txt,0.6795,1359,2000
65,/Start & TP01/F06.txt,0.9505,1901,2000
66,/Start & TP01/F07.txt,0.2475,495,2000
67,/Start & TP01/F08.txt,0.7595,1519,2000
68,/Start & TP01/F09.txt,0.963,1926,2000
69,/Start & TP01/F10.txt,0.2715,543,2000
70,/Start & TP01/F11.txt,0.7205,1441,2000
71,/Start & TP01/F12.txt,0.9615,1923,2000
72,/Start & TP01/G01.txt,0.2295,459,2000
73,/Start & TP01/G02.txt,0.716,1432,2000
74,/Start & TP01/G03.txt,0.9585,1917,2000
75,/Start & TP01/G04.txt,0.202,404,2000
76,/Start & TP01/G05.txt,0.653,1306,2000
77,/Start & TP01/G06.txt,0.9495,1899,2000
78,/Start & TP01/G07.txt,0.2845,569,2000
79,/Start & TP01/G08.txt,0.7755,1551,2000
80,/Start & TP01/G09.txt,0.96,1920,2000
81,/Start & TP01/G10.txt,0.2545,509,2000
82,/Start & TP01/G11.txt,0.757,1514,2000
83,/Start & TP01/G12.txt,0.956,1912,2000
84,/Start & TP01/H01.txt,0.9985,1997,2000
85,/Start & TP01/H02.txt,0.04,80,2000
86,/Start & TP01/H03.txt,0.5305164319248826,226,426
87,/Start & TP01/H04.txt,0.3236301369863014,189,584
88,/Start & TP01/H05.txt,0.9955,1991,2000
89,/Start & TP01/H06.txt,0.0215,43,2000
90,/Start & TP01/H07.txt,0.996,1992,2000
91,/Start & TP01/H08.txt,0.011,22,2000
92,/Start & TP01/H09.txt,0.4140127388535032,130,314
93,/Start & TP01/H10.txt,0.3076923076923077,136,442
94,/Start & TP01/H11.txt,0.9935,1987,2000
95,/Start & TP01/H12.txt,0.0315,63,2000
96,/TP02 & TP03/A01.txt,0.9975,1995,2000
97,/TP02 & TP03/A02.txt,0.007,14,2000
98,/TP02 & TP03/A03.txt,0.2721649484536082,132,485
99,/TP02 & TP03/A04.txt,0.14,49,350
100,/TP02 & TP03/A05.txt,0.9905,1981,2000
101,/TP02 & TP03/A06.txt,0.03,60,2000
102,/TP02 & TP03/A07.txt,0.9955,1991,2000
103,/TP02 & TP03/A08.txt,0.01,20,2000
104,/TP02 & TP03/A09.txt,0.31368821292775667,165,526
105,/TP02 & TP03/A10.txt,0.2366412213740458,124,524
106,/TP02 & TP03/A11.txt,0.9885,1977,2000
107,/TP02 & TP03/A12.txt,0.109,218,2000
108,/TP02 & TP03/B01.txt,0.802,1604,2000
109,/TP02 & TP03/B02.txt,0.384,768,2000
110,/TP02 & TP03/B03.txt,0.071,142,2000
111,/TP02 & TP03/B04.txt,0.8595,1719,2000
112,/TP02 & TP03/B05.txt,0.3425,685,2000
113,/TP02 & TP03/B06.txt,0.0635,127,2000
114,/TP02 & TP03/B07.txt,0.7425,1485,2000
115,/TP02 & TP03/B08.txt,0.2835,567,2000
116,/TP02 & TP03/B09.txt,0.054,108,2000
117,/TP02 & TP03/B10.txt,0.7485,1497,2000
118,/TP02 & TP03/B11.txt,0.305,610,2000
119,/TP02 & TP03/B12.txt,0.055,110,2000
120,/TP02 & TP03/C01.txt,0.5295,1059,2000
121,/TP02 & TP03/C02.txt,0.3845,769,2000
122,/TP02 & TP03/C03.txt,0.085,170,2000
123,/TP02 & TP03/C04.txt,0.829,1658,2000
124,/TP02 & TP03/C05.txt,0.419,838,2000
125,/TP02 & TP03/C06.txt,0.09,180,2000
126,/TP02 & TP03/C07.txt,0.7625,1525,2000
127,/TP02 & TP03/C08.txt,0.307,614,2000
128,/TP02 & TP03/C09.txt,0.064,128,2000
129,/TP02 & TP03/C10.txt,0.7865,1573,2000
130,/TP02 & TP03/C11.txt,0.3265,653,2000
131,/TP02 & TP03/C12.txt,0.04,80,2000
132,/TP02 & TP03/D01.txt,0.7955,1591,2000
133,/TP02 & TP03/D02.txt,0.426,852,2000
134,/TP02 & TP03/D03.txt,0.0935,187,2000
135,/TP02 & TP03/D04.txt,0.853,1706,2000
136,/TP02 & TP03/D05.txt,0.3825,765,2000
137,/TP02 & TP03/D06.txt,0.075,150,2000
138,/TP02 & TP03/D07.txt,0.7535,1507,2000
139,/TP02 & TP03/D08.txt,0.31,620,2000
140,/TP02 & TP03/D09.txt,0.062,124,2000
141,/TP02 & TP03/D10.txt,0.767,1534,2000
142,/TP02 & TP03/D11.txt,0.314,628,2000
143,/TP02 & TP03/D12.txt,0.064,128,2000
144,/TP02 & TP03/E01.txt,0.219,438,2000
145,/TP02 & TP03/E02.txt,0.6705,1341,2000
146,/TP02 & TP03/E03.txt,0.947,1894,2000
147,/TP02 & TP03/E04.txt,0.172,344,2000
148,/TP02 & TP03/E05.txt,0.644,1288,2000
149,/TP02 & TP03/E06.txt,0.9455,1891,2000
150,/TP02 & TP03/E07.txt,0.303,606,2000
151,/TP02 & TP03/E08.txt,0.768,1536,2000
152,/TP02 & TP03/E09.txt,0.973,1946,2000
153,/TP02 & TP03/E10.txt,0.2165,433,2000
154,/TP02 & TP03/E11.txt,0.706,1412,2000
155,/TP02 & TP03/E12.txt,0.9635,1927,2000
156,/TP02 & TP03/F01.txt,0.255,510,2000
157,/TP02 & TP03/F02.txt,0.6875,1375,2000
158,/TP02 & TP03/F03.txt,0.963,1926,2000
159,/TP02 & TP03/F04.txt,0.185,370,2000
160,/TP02 & TP03/F05.txt,0.634,1268,2000
161,/TP02 & TP03/F06.txt,0.967,1934,2000
162,/TP02 & TP03/F07.txt,0.3065,613,2000
163,/TP02 & TP03/F08.txt,0.793,1586,2000
164,/TP02 & TP03/F09.txt,0.968,1936,2000
165,/TP02 & TP03/F10.txt,0.2565,513,2000
166,/TP02 & TP03/F11.txt,0.6975,1395,2000
167,/TP02 & TP03/F12.txt,0.962,1924,2000
168,/TP02 & TP03/G01.txt,0.196,392,2000
169,/TP02 & TP03/G02.txt,0.705,1410,2000
170,/TP02 & TP03/G04.txt,0.225,450,2000
171,/TP02 & TP03/G05.txt,0.663,1326,2000
172,/TP02 & TP03/G06.txt,0.9645,1929,2000
173,/TP02 & TP03/G07.txt,0.313,626,2000
174,/TP02 & TP03/G08.txt,0.7925,1585,2000
175,/TP02 & TP03/G09.txt,0.9715,1943,2000
176,/TP02 & TP03/G10.txt,0.285,570,2000
177,/TP02 & TP03/G11.txt,0.7175,1435,2000
178,/TP02 & TP03/G12.txt,0.9645,1929,2000
179,/TP02 & TP03/H01.txt,0.867,1734,2000
180,/TP02 & TP03/H02.txt,0.002,4,2000
181,/TP02 & TP03/H03.txt,0.20592592592592593,139,675
182,/TP02 & TP03/H07.txt,0.989,1978,2000
183,/TP02 & TP03/H08.txt,0.021,42,2000
184,/TP02 & TP03/H09.txt,0.23151750972762647,119,514
185,/TP02 & TP03/H12.txt,0.068,136,2000
186,/TP04 & TP05/A01.txt,0.922,1844,2000
187,/TP04 & TP05/A02.txt,0.011,22,2000
188,/TP04 & TP05/A03.txt,0.29911699779249445,271,906
189,/TP04 & TP05/A04.txt,0.4339622641509434,230,530
190,/TP04 & TP05/A05.txt,0.9885,1977,2000
191,/TP04 & TP05/A06.txt,0.167,334,2000
192,/TP04 & TP05/A07.txt,0.993,1986,2000
193,/TP04 & TP05/A08.txt,0.0235,47,2000
194,/TP04 & TP05/A09.txt,0.3400286944045911,237,697
195,/TP04 & TP05/A10.txt,0.3622641509433962,192,530
196,/TP04 & TP05/A11.txt,0.9835,1967,2000
197,/TP04 & TP05/A12.txt,0.206,412,2000
198,/TP04 & TP05/B01.txt,0.2275,455,2000
199,/TP04 & TP05/B02.txt,0.3105,621,2000
200,/TP04 & TP05/B03.txt,0.052,104,2000
201,/TP04 & TP05/B04.txt,0.825,1650,2000
202,/TP04 & TP05/B05.txt,0.3555,711,2000
203,/TP04 & TP05/B06.txt,0.068,136,2000
204,/TP04 & TP05/B07.txt,0.7055,1411,2000
205,/TP04 & TP05/B08.txt,0.3075,615,2000
206,/TP04 & TP05/B09.txt,0.066,132,2000
207,/TP04 & TP05/B10.txt,0.7575,1515,2000
208,/TP04 & TP05/B11.txt,0.308,616,2000
209,/TP04 & TP05/B12.txt,0.066,132,2000
210,/TP04 & TP05/C01.txt,0.559,1118,2000
211,/TP04 & TP05/C02.txt,0.3415,683,2000
212,/TP04 & TP05/C03.txt,0.062,124,2000
213,/TP04 & TP05/C04.txt,0.8125,1625,2000
214,/TP04 & TP05/C05.txt,0.378,756,2000
215,/TP04 & TP05/C06.txt,0.06,120,2000
216,/TP04 & TP05/C07.txt,0.428,856,2000
217,/TP04 & TP05/C08.txt,0.3135,627,2000
218,/TP04 & TP05/C09.txt,0.0645,129,2000
219,/TP04 & TP05/C10.txt,0.765,1530,2000
220,/TP04 & TP05/C11.txt,0.2835,567,2000
221,/TP04 & TP05/C12.txt,0.0665,133,2000
222,/TP04 & TP05/D01.txt,0.406,812,2000
223,/TP04 & TP05/D02.txt,0.3475,695,2000
224,/TP04 & TP05/D03.txt,0.0635,127,2000
225,/TP04 & TP05/D04.txt,0.848,1696,2000
226,/TP04 & TP05/D05.txt,0.38,760,2000
227,/TP04 & TP05/D06.txt,0.0705,141,2000
228,/TP04 & TP05/D07.txt,0.767,1534,2000
229,/TP04 & TP05/D08.txt,0.3185,637,2000
230,/TP04 & TP05/D09.txt,0.072,144,2000
231,/TP04 & TP05/D10.txt,0.7095,1419,2000
232,/TP04 & TP05/D11.txt,0.302,604,2000
233,/TP04 & TP05/D12.txt,0.0635,127,2000
234,/TP04 & TP05/E01.txt,0.324,648,2000
235,/TP04 & TP05/E02.txt,0.7605,1521,2000
236,/TP04 & TP05/E03.txt,0.9625,1925,2000
237,/TP04 & TP05/E04.txt,0.261,522,2000
238,/TP04 & TP05/E05.txt,0.7125,1425,2000
239,/TP04 & TP05/E06.txt,0.94,1880,2000
240,/TP04 & TP05/E07.txt,0.4555,911,2000
241,/TP04 & TP05/E08.txt,0.8005,1601,2000
242,/TP04 & TP05/E09.txt,0.9775,1955,2000
243,/TP04 & TP05/E10.txt,0.358,716,2000
244,/TP04 & TP05/E11.txt,0.798,1596,2000
245,/TP04 & TP05/E12.txt,0.9705,1941,2000
246,/TP04 & TP05/F01.txt,0.1985,397,2000
247,/TP04 & TP05/F02.txt,0.7765,1553,2000
248,/TP04 & TP05/F03.txt,0.9675,1935,2000
249,/TP04 & TP05/F04.txt,0.2675,535,2000
250,/TP04 & TP05/F05.txt,0.7,1400,2000
251,/TP04 & TP05/F06.txt,0.9515,1903,2000
252,/TP04 & TP05/F07.txt,0.3715,743,2000
253,/TP04 & TP05/F08.txt,0.7865,1573,2000
254,/TP04 & TP05/F09.txt,0.9705,1941,2000
255,/TP04 & TP05/F10.txt,0.3345,669,2000
256,/TP04 & TP05/F11.txt,0.7825,1565,2000
257,/TP04 & TP05/F12.txt,0.9605,1921,2000
258,/TP04 & TP05/G01.txt,0.282,564,2000
259,/TP04 & TP05/G02.txt,0.75,1500,2000
260,/TP04 & TP05/G03.txt,0.966,1932,2000
261,/TP04 & TP05/G04.txt,0.268,536,2000
262,/TP04 & TP05/G05.txt,0.7375,1475,2000
263,/TP04 & TP05/G06.txt,0.9605,1921,2000
264,/TP04 & TP05/G07.txt,0.3425,685,2000
265,/TP04 & TP05/G08.txt,0.8185,1637,2000
266,/TP04 & TP05/G09.txt,0.974,1948,2000
267,/TP04 & TP05/G10.txt,0.382,764,2000
268,/TP04 & TP05/G11.txt,0.794,1588,2000
269,/TP04 & TP05/G12.txt,0.974,1948,2000
270,/TP04 & TP05/H01.txt,0.5925,1185,2000
271,/TP04 & TP05/H02.txt,0.0185,37,2000
272,/TP04 & TP05/H03.txt,0.05702647657841141,84,1473
273,/TP04 & TP05/H04.txt,0.06740196078431372,55,816
274,/TP04 & TP05/H05.txt,0.981,1962,2000
275,/TP04 & TP05/H06.txt,0.102,204,2000
276,/TP04 & TP05/H07.txt,0.9875,1975,2000
277,/TP04 & TP05/H08.txt,0.029,58,2000
278,/TP04 & TP05/H09.txt,0.0956043956043956,87,910
279,/TP04 & TP05/H10.txt,0.22361359570661896,125,559
280,/TP04 & TP05/H11.txt,0.965,1930,2000
281,/TP04 & TP05/H12.txt,0.1645,329,2000
