well	row	ratio	stained	total	time.point	sample	stained_isolate	predator	starting_freq_I7	freq_I7	freq_I6	rel_fitness	freq_I7_previous	replicate
1	A	0.9985	1997	2000	0	1	6	NO	0	0.0014999999999999458	0.9985	0	0.0014999999999999458	A1
7	A	0.994	1988	2000	1	1	6	NO	0	0.006000000000000005	0.994	0.6954056536596118	0.0014999999999999458	A1
1	A	0.9965	1993	2000	2	1	6	NO	0	0.0034999999999999476	0.9965	-0.27075421686448914	0.006000000000000005	A1
7	A	0.9945	1989	2000	3	1	6	NO	0	0.005499999999999949	0.9945	0.22699708255094275	0.0034999999999999476	A1
1	A	0.9095	1819	2000	4	1	6	NO	0	0.09050000000000002	0.9095	1.4449734294016574	0.005499999999999949	A1
7	A	0.979	1958	2000	5	1	6	NO	0	0.02100000000000002	0.979	-0.767232028777395	0.09050000000000002	A1
2	A	0.078	156	2000	0	2	6	NO	0	0.922	0.07799999999999996	0	0.922	A2
8	A	0.0235	47	2000	1	2	6	NO	0	0.9765	0.023499999999999965	0.6285689661498096	0.922	A2
2	A	0.0055	11	2000	2	2	6	NO	0	0.9945	0.005499999999999949	0.7352588384444945	0.9765	A2
8	A	0.0025	5	2000	3	2	6	NO	0	0.9975	0.0024999999999999467	0.39573470541713696	0.9945	A2
2	A	0.005	10	2000	4	2	6	NO	0	0.995	0.0050000000000000044	-0.34782829608269666	0.9975	A2
8	A	0.0065	13	2000	5	2	6	NO	0	0.9935	0.00649999999999995	-0.13193646981710186	0.995	A2
3	A	0.62882096069869	288	458	0	3	0	NO	0	0.62882096069869	0.37117903930131	0	0.62882096069869	A3
9	A	0.5560747663551402	119	214	1	3	0	NO	0	0.5560747663551402	0.4439252336448598	-0.15095772078734782	0.62882096069869	A3
3	A	0.20412371134020618	99	485	2	3	0	NO	0	0.20412371134020618	0.7958762886597939	-0.7929820604206148	0.5560747663551402	A3
9	A	0.188212927756654	99	526	3	3	0	NO	0	0.188212927756654	0.811787072243346	-0.050473321881896814	0.20412371134020618	A3
3	A	0.217439293598234	197	906	4	3	0	NO	0	0.217439293598234	0.782560706401766	0.09050618264994785	0.188212927756654	A3
9	A	0.2611190817790531	182	697	5	3	0	NO	0	0.2611190817790531	0.7388809182209469	0.12024579210359912	0.217439293598234	A3
4	A	0.3540856031128405	182	514	0	4	0	YES	0	0.3540856031128405	0.6459143968871595	0	0.3540856031128405	A4
10	A	0.27898550724637683	77	276	1	4	0	YES	0	0.27898550724637683	0.7210144927536232	-0.17418556051555772	0.3540856031128405	A4
4	A	0.054285714285714284	19	350	2	4	0	YES	0	0.054285714285714284	0.9457142857142857	-0.954089996669907	0.27898550724637683	A4
10	A	0.09923664122137404	52	524	3	4	0	YES	0	0.09923664122137404	0.9007633587786259	0.32597206460324724	0.054285714285714284	A4
4	A	0.3018867924528302	160	530	4	4	0	YES	0	0.3018867924528302	0.6981132075471699	0.6837030382998424	0.09923664122137404	A4
10	A	0.2339622641509434	124	530	5	4	0	YES	0	0.2339622641509434	0.7660377358490567	-0.17387120179612622	0.3018867924528302	A4
5	A	0.994	1988	2000	0	5	7	NO	1	0.994	0.006000000000000005	0	0.994	A5
11	A	0.9795	1959	2000	1	5	7	NO	1	0.9795	0.020499999999999963	-0.6216801930941418	0.994	A5
5	A	0.98	1960	2000	2	5	7	NO	1	0.98	0.020000000000000018	0.012601473435195458	0.9795	A5
11	A	0.9665	1933	2000	3	5	7	NO	1	0.9665	0.033499999999999974	-0.26484221914663003	0.98	A5
5	A	0.8545	1709	2000	4	5	7	NO	1	0.8545	0.14549999999999996	-0.7958977219366336	0.9665	A5
11	A	0.814	1628	2000	5	5	7	NO	1	0.814	0.18600000000000005	-0.14706336182738	0.8545	A5
6	A	0.0105	21	2000	0	6	7	NO	1	0.0105	0.9895	0	0.0105	A6
12	A	0.0215	43	2000	1	6	7	NO	1	0.0215	0.9785	0.36392832808831443	0.0105	A6
6	A	0.0075	15	2000	2	6	7	NO	1	0.0075	0.9925	-0.5336780701582834	0.0215	A6
12	A	0.017	34	2000	3	6	7	NO	1	0.017	0.983	0.41396410796406524	0.0075	A6
6	A	0.0155	31	2000	4	6	7	NO	1	0.0155	0.9845	-0.04694904903151443	0.017	A6
12	A	0.0275	55	2000	5	6	7	NO	1	0.0275	0.9725	0.2928049016669518	0.0155	A6
1	B	0.9045	1809	2000	0	1	7	YES	0.9	0.9045	0.09550000000000003	0	0.9045	B1
7	B	0.83	1660	2000	1	1	7	YES	0.9	0.83	0.17000000000000004	-0.3313143968041417	0.9045	B1
1	B	0.785	1570	2000	2	1	7	YES	0.9	0.785	0.21499999999999997	-0.14529078704281784	0.83	B1
7	B	0.7015	1403	2000	3	1	7	YES	0.9	0.7015	0.2985	-0.22029736147244341	0.785	B1
1	B	0.172	344	2000	4	1	7	YES	0.9	0.172	0.8280000000000001	-1.2129848221408328	0.7015	B1
7	B	0.5015	1003	2000	5	1	7	YES	0.9	0.5015	0.49850000000000005	0.788759347785952	0.172	B1
2	B	0.5715	1143	2000	0	2	7	YES	0.5	0.5715	0.4285	0	0.5715	B2
8	B	0.416	832	2000	1	2	7	YES	0.5	0.416	0.5840000000000001	-0.3135947338819975	0.5715	B2
2	B	0.3715	743	2000	2	2	7	YES	0.5	0.3715	0.6285000000000001	-0.09328572065276228	0.416	B2
8	B	0.2675	535	2000	3	2	7	YES	0.5	0.2675	0.7324999999999999	-0.24077830534133632	0.3715	B2
2	B	0.2675	535	2000	4	2	7	YES	0.5	0.2675	0.7324999999999999	0	0.2675	B2
8	B	0.233	466	2000	5	2	7	YES	0.5	0.233	0.767	-0.09205228662319728	0.2675	B2
3	B	0.177	354	2000	0	3	7	YES	0.1	0.177	0.823	0	0.177	B3
9	B	0.113	226	2000	1	3	7	YES	0.1	0.113	0.887	-0.2618253477469991	0.177	B3
3	B	0.0675	135	2000	2	3	7	YES	0.1	0.0675	0.9325	-0.28264219502112375	0.113	B3
9	B	0.0465	93	2000	3	3	7	YES	0.1	0.0465	0.9535	-0.1974727794038383	0.0675	B3
3	B	0.0415	83	2000	4	3	7	YES	0.1	0.0415	0.9585	-0.05949451140094171	0.0465	B3
9	B	0.04	80	2000	5	3	7	YES	0.1	0.04	0.96	-0.019188847549449536	0.0415	B3
4	B	0.923	1846	2000	0	4	7	NO	0.9	0.923	0.07699999999999996	0	0.923	B4
10	B	0.8235	1647	2000	1	4	7	NO	0.9	0.8235	0.1765	-0.4717905697024126	0.923	B4
4	B	0.848	1696	2000	2	4	7	NO	0.9	0.848	0.15200000000000002	0.08937872085064144	0.8235	B4
10	B	0.7345	1469	2000	3	4	7	NO	0.9	0.7345	0.26549999999999996	-0.3507124800068439	0.848	B4
4	B	0.74	1480	2000	4	4	7	NO	0.9	0.74	0.26	0.014196700125374466	0.7345	B4
10	B	0.6065	1213	2000	5	4	7	NO	0.9	0.6065	0.39349999999999996	-0.30667244732802035	0.74	B4
5	B	0.5985	1197	2000	0	5	7	NO	0.5	0.5985	0.40149999999999997	0	0.5985	B5
11	B	0.3905	781	2000	1	5	7	NO	0.5	0.3905	0.6094999999999999	-0.4222149856263985	0.5985	B5
5	B	0.3355	671	2000	2	5	7	NO	0.5	0.3355	0.6645	-0.11910097104998896	0.3905	B5
11	B	0.292	584	2000	3	5	7	NO	0.5	0.292	0.708	-0.10113868484193722	0.3355	B5
5	B	0.3055	611	2000	4	5	7	NO	0.5	0.3055	0.6945	0.03222395392134477	0.292	B5
