well	row 	sample 	time.point	OD_corr												
A1	A	1	0	0.16												
A1	A	1	1	0.259												
A1	A	1	2	0.298												
A1	A	1	3	0.31												
A1	A	1	4	0.021												
A1	A	1	5	0.012												
A2	A	2	0	0.171												
A2	A	2	1	0.241												
A2	A	2	2	0.284												
A2	A	2	3	0.353												
A2	A	2	4	0.025												
A2	A	2	5	0.016												
A5	A	5	0	0.164												
A5	A	5	1	0.17												
A5	A	5	2	0.262												
A5	A	5	3	0.237												
A5	A	5	4	0.006												
A5	A	5	5	0.012												
A6	A	6	0	0.156												
A6	A	6	1	0.197												
A6	A	6	2	0.265												
A6	A	6	3	0.236												
A6	A	6	4	0.011												
A6	A	6	5	0.172												
B1	B	1	0	0.179												
B1	B	1	1	0.23												
B1	B	1	2	0.267												
B1	B	1	3	0.224												
B1	B	1	4	0.016												
B1	B	1	5	0.155												
B2	B	2	0	0.207												
B2	B	2	1	0.231												
B2	B	2	2	0.298												
B2	B	2	3	0.298												
B2	B	2	4	0.262												
B2	B	2	5	0.241												
B3	B	3	0	0.223												
B3	B	3	1	0.263												
B3	B	3	2	0.337												
B3	B	3	3	0.363												
B3	B	3	4	0.32												
B3	B	3	5	0.29												
B4	B	4	0	0.155												
B4	B	4	1	0.173												
B4	B	4	2	0.298												
B4	B	4	3	0.238												
B4	B	4	4	0.205												
B4	B	4	5	0.108												
B5	B	5	0	0.158												
B5	B	5	1	0.286												
B5	B	5	2	0.315												
B5	B	5	3	0.288												
B5	B	5	4	0.246												
B5	B	5	5	0.154												
B6	B	6	0	0.211												
B6	B	6	1	0.278												
B6	B	6	2	0.312												
B6	B	6	3	0.334												
B6	B	6	4	0.274												
B6	B	6	5	0.198												
C1	C	1	0	0.228												
C1	C	1	1	0.208												
C1	C	1	2	0.285												
C1	C	1	3	0.254												
C1	C	1	4	0.194												
C1	C	1	5	0.167												
C2	C	2	0	0.204												
C2	C	2	1	0.241												
C2	C	2	2	0.288												
C2	C	2	3	0.325												
C2	C	2	4	0.264												
C2	C	2	5	0.22												
C3	C	3	0	0.235												
C3	C	3	1	0.27												
C3	C	3	2	0.312												
C3	C	3	3	0.373												
C3	C	3	4	0.29												
C3	C	3	5	0.293												
C4	C	4	0	0.218												
C4	C	4	1	0.222												
C4	C	4	2	0.312												
C4	C	4	3	0.309												
C4	C	4	4	0.249												
C4	C	4	5	0.172												
C5	C	5	0	0.252												
C5	C	5	1	0.219												
C5	C	5	2	0.346												
C5	C	5	3	0.295												
C5	C	5	4	0.275												
C5	C	5	5	0.143												
C6	C	6	0	0.251												
C6	C	6	1	0.261												
C6	C	6	2	0.327												
C6	C	6	3	0.345												
C6	C	6	4	0.32												
C6	C	6	5	0.257												
D1	D	1	0	0.185												
D1	D	1	1	0.193												
D1	D	1	2	0.282												
D1	D	1	3	0.252												
D1	D	1	4	0.212												
D1	D	1	5	0.171												
D2	D	2	0	0.19												
D2	D	2	1	0.234												
D2	D	2	2	0.312												
D2	D	2	3	0.326												
D2	D	2	4	0.288												
D2	D	2	5	0.279												
D3	D	3	0	0.224												
D3	D	3	1	0.255												
D3	D	3	2	0.331												
D3	D	3	3	0.36												
D3	D	3	4	0.31												
D3	D	3	5	0.323												
D4	D	4	0	0.187												
D4	D	4	1	0.196												
D4	D	4	2	0.32												
D4	D	4	3	0.312												
D4	D	4	4	0.265												
D4	D	4	5	0.147												
D5	D	5	0	0.188												
D5	D	5	1	0.222												
D5	D	5	2	0.324												
D5	D	5	3	0.341												
D5	D	5	4	0.294												
D5	D	5	5	0.192												
D6	D	6	0	0.197												
D6	D	6	1	0.248												
D6	D	6	2	0.32												
D6	D	6	3	0.363												
D6	D	6	4	0.298												
D6	D	6	5	0.275												
E1	E	1	0	0.188												
E1	E	1	1	0.198												
E1	E	1	2	0.258												
E1	E	1	3	0.232												
E1	E	1	4	0.007												
E1	E	1	5	0.153												
E2	E	2	0	0.183												
E2	E	2	1	0.199												
E2	E	2	2	0.273												
E2	E	2	3	0.297												
E2	E	2	4	0.268												
E2	E	2	5	0.255												
E3	E	3	0	0.178												
E3	E	3	1	0.223												
E3	E	3	2	0.318												
E3	E	3	3	0.363												
E3	E	3	4	0.341												
E3	E	3	5	0.337												
E4	E	4	0	0.176												
E4	E	4	1	0.199												
E4	E	4	2	0.285												
E4	E	4	3	0.288												
E4	E	4	4	0.24												
E4	E	4	5	0.194												
E5	E	5	0	0.195												
E5	E	5	1	0.194												
E5	E	5	2	0.3												
E5	E	5	3	0.289												
E5	E	5	4	0.27												
E5	E	5	5	0.2												
E6	E	6	0	0.178												
E6	E	6	1	0.203												
E6	E	6	2	0.289												
E6	E	6	3	0.32												
E6	E	6	4	0.277												
E6	E	6	5	0.258												
F1	F	1	0	0.173												
F1	F	1	1	0.183												
F1	F	1	2	0.252												
F1	F	1	3	0.222												
F1	F	1	4	0.221												
F1	F	1	5	0.167												
F2	F	2	0	0.165												
F2	F	2	1	0.196												
F2	F	2	2	0.267												
F2	F	2	3	0.278												
F2	F	2	4	0.233												
F2	F	2	5	0.237												
F3	F	3	0	0.188												
F3	F	3	1	0.205												
F3	F	3	2	0.307												
F3	F	3	3	0.331												
F3	F	3	4	0.322												
F3	F	3	5	0.312												
F4	F	4	0	0.169												
F4	F	4	1	0.198												
F4	F	4	2	0.298												
F4	F	4	3	0.296												
F4	F	4	4	0.232												
F4	F	4	5	0.206												
F5	F	5	0	0.162												
F5	F	5	1	0.185												
F5	F	5	2	0.287												
F5	F	5	3	0.296												
F5	F	5	4	0.279												
F5	F	5	5	0.225												
F6	F	6	0	0.169												
F6	F	6	1	0.187												
F6	F	6	2	0.262												
F6	F	6	3	0.293												
F6	F	6	4	0.251												
F6	F	6	5	0.214												
G1	G	1	0	0.166												
G1	G	1	1	0.164												
G1	G	1	2	0.233												
G1	G	1	3	0.194												
G1	G	1	4	0.2												
G1	G	1	5	0.2												
G2	G	2	0	0.142												
G2	G	2	1	0.182												
G2	G	2	2	0.223												
G2	G	2	3	0.259												
G2	G	2	4	0.247												
G2	G	2	5	0.275												
G3	G	3	0	0.192												
G3	G	3	1	0.181												
G3	G	3	2	0.284												
G3	G	3	3	0.324												
G3	G	3	4	0.299												
G3	G	3	5	0.317												
G4	G	4	0	0.153												
G4	G	4	1	0.178												
G4	G	4	2	0.274												
G4	G	4	3	0.262												
G4	G	4	4	0.224												
G4	G	4	5	0.164												
G5	G	5	0	0.158												
G5	G	5	1	0.181												
G5	G	5	2	0.272												
G5	G	5	3	0.271												
G5	G	5	4	0.245												
G5	G	5	5	0.178												
G6	G	6	0	0.134												
G6	G	6	1	0.193												
G6	G	6	2	0.259												
G6	G	6	3	0.301												
G6	G	6	4	0.262												
G6	G	6	5	0.218												
H1	H	1	0	0.192												
H1	H	1	1	0.197												
H1	H	1	2	0.252												
H1	H	1	3	0.284												
H1	H	1	4	0.057												
H1	H	1	5	0.025												
H2	H	2	0	0.166												
H2	H	2	1	0.17												
H2	H	2	2	0.282												
H2	H	2	3	0.385												
H2	H	2	4	0.068												
H2	H	2	5	0.029												
H5	H	5	0	0.158												
H5	H	5	1	0.188												
H5	H	5	2	0.246												
H5	H	5	3	0.28												
H5	H	5	4	0.015												
H5	H	5	5	0.024												
H6	H	6	0	0.178												
H6	H	6	1	0.199												
H6	H	6	2	0.24												
H6	H	6	3	0.235												
H6	H	6	4	0.009												
H6	H	6	5	0.012												
