
Competition_Ch11_320_379_th_TP0-2_2nd_run

File	freq_unstained	freq_stained	IntensityCh11
A01.daf	0,0000	100,0000	38552,1226
A02.daf	98,6500	1,3000	547,9560
A03.daf	62,0915	34,6405	56225,2993
A05.daf	0,1500	99,8000	36803,4474
A06.daf	99,4000	0,5500	625,7435
A07.daf	61,5385	38,4615	10427,9610
A09.daf	0,1500	99,8500	28265,5981
A10.daf	99,1500	0,8000	962,8545
A11.daf	58,8235	36,4706	46622,3880
B01.daf	9,1500	90,8500	43314,8923
B02.daf	43,4000	56,6000	20376,4202
B03.daf	87,3000	12,6500	5202,9508
B04.daf	0,4000	99,5000	51124,6877
B05.daf	8,7000	91,2500	34502,4134
B06.daf	46,2500	53,6500	15207,3805
B07.daf	90,7000	9,2000	4079,0741
B08.daf	0,3000	99,6500	46144,3614
B09.daf	8,9000	91,1000	26822,8784
B10.daf	48,7000	51,3000	10914,2876
B11.daf	91,7000	8,3000	1964,7222
B12.daf	0,1500	99,8500	29580,0559
C01.daf	10,4000	89,5000	41434,9638
C02.daf	42,1500	57,8000	20864,6784
C03.daf	84,4000	15,6000	4194,0803
C04.daf	99,8000	0,2000	284,5449
C05.daf	10,1000	89,8500	33806,8821
C06.daf	38,8000	61,1500	14713,5556
C07.daf	88,3500	11,6500	2625,3407
C08.daf	99,3000	0,7000	118,8912
C09.daf	8,6500	91,3000	26006,2649
C10.daf	42,9500	57,0500	13280,9453
C11.daf	92,5500	7,4500	1963,8821
C12.daf	99,9000	0,1000	0,6762
D01.daf	9,3000	90,6500	44787,6571
D02.daf	40,3000	59,6500	21125,8600
D03.daf	83,1000	16,9000	4804,2586
D05.daf	11,1500	88,8000	35763,5706
D06.daf	38,3000	61,7000	14945,8128
D07.daf	92,1500	7,8000	2663,8889
D09.daf	7,2500	92,7500	25269,9799
D10.daf	44,1500	55,8500	13231,7946
D11.daf	92,4500	7,5500	1603,6647
E01.daf	64,3500	35,6000	11867,5303
E02.daf	10,0000	90,0000	29185,4737
E03.daf	0,8000	99,2000	35691,4507
E05.daf	59,0500	40,9500	13537,9974
E06.daf	12,2500	87,7500	27156,6909
E07.daf	1,0000	99,0000	34888,9633
E09.daf	72,6000	27,4000	7135,2564
E10.daf	15,1500	84,8500	22067,6275
E11.daf	0,6000	99,4000	29105,7402
F01.daf	61,5000	38,5000	11158,0804
F02.daf	10,2000	89,8000	27317,7087
F03.daf	0,8500	99,0000	36596,5968
F04.daf	0,0000	99,9000	37219,3790
F05.daf	56,2000	43,8000	10775,0563
F06.daf	9,6000	90,4000	27460,4226
F07.daf	0,6500	99,3500	34069,5566
F08.daf	0,3000	99,6500	35887,9812
F09.daf	71,6000	28,4000	8134,1133
F10.daf	15,4500	84,5500	22640,5996
F11.daf	0,6500	99,3500	30081,7355
F12.daf	0,0000	100,0000	29181,4120
G01.daf	60,1000	39,9000	11581,3763
G02.daf	10,3000	89,7000	26223,9714
G03.daf	1,0500	98,9500	35478,5201
G04.daf	99,0500	0,9500	256,0358
G05.daf	59,9000	40,1000	12332,7745
G06.daf	9,2500	90,7500	29036,1751
G07.daf	0,8500	99,1500	37187,0235
G08.daf	99,0000	1,0000	529,4471
G09.daf	72,0000	28,0000	7409,7866
G10.daf	12,5000	87,4500	26756,2299
G11.daf	0,5000	99,4000	30586,8008
G12.daf	98,6000	1,4000	261,4640
H01.daf	0,4500	99,5500	53694,7413
H02.daf	98,8500	1,1500	311,1807
H03.daf	70,8520	27,3543	30663,7998
H05.daf	0,7500	99,2000	43531,5922
H06.daf	99,2000	0,8000	367,9377
H07.daf	86,1702	12,7660	15771,8640
H09.daf	0,1000	99,9000	30997,3932
H10.daf	99,4000	0,6000	48,6868
H11.daf	81,9444	17,3611	23670,8037



This file was created at: 13.02.2024 16:15:56
