Dilution	no. Pf (small/smooth)	no. Ec (big/fuzzy) 	total	FreqPf	FreqEc	cell concentration	doublings	rel_fitness	starting Freq	Time point	Isolate stained	replicate
8	128	6	134	0.955223881	0.044776119	644230769.2			0.9	0	Pf	B1
8	128	6	134	0.955223881	0.044776119	644230769.2			0.9	0	Pf	C1
8	128	6	134	0.955223881	0.044776119	644230769.2			0.9	0	Pf	D1
8	70	32	102	0.68627451	0.31372549	490384615.4			0.5	0	Pf	B2
8	70	32	102	0.68627451	0.31372549	490384615.4			0.5	0	Pf	C2
8	70	32	102	0.68627451	0.31372549	490384615.4			0.5	0	Pf	D2
8	9	44	53	0.169811321	0.830188679	254807692.3			0.1	0	Pf	B3
8	9	44	53	0.169811321	0.830188679	254807692.3			0.1	0	Pf	C3
8	9	44	53	0.169811321	0.830188679	254807692.3			0.1	0	Pf	D3
8	200	25	225	0.888888889	0.111111111	1081730769			0.9	0	Ec	E1
8	200	25	225	0.888888889	0.111111111	1081730769			0.9	0	Ec	F1
8	200	25	225	0.888888889	0.111111111	1081730769			0.9	0	Ec	G1
8	58	44	102	0.568627451	0.431372549	490384615.4			0.5	0	Ec	E2
8	58	44	102	0.568627451	0.431372549	490384615.4			0.5	0	Ec	F2
8	58	44	102	0.568627451	0.431372549	490384615.4			0.5	0	Ec	G2
8	12	119	131	0.091603053	0.908396947	629807692.3			0.1	0	Ec	E3
8	12	119	131	0.091603053	0.908396947	629807692.3			0.1	0	Ec	F3
8	12	119	131	0.091603053	0.908396947	629807692.3			0.1	0	Ec	G3
10	1160	7	1167	0.994001714	0.005998286	2.2793E+11	8.466795563	1.004710973	0.9	5	Pf	B1
10	1215	7	1222	0.994271686	0.005728314	2.38672E+11	8.533235287	1.004706182	0.9	5	Pf	C1
10	1329	11	1340	0.991791045	0.008208955	2.61719E+11	8.666224003	1.00434425	0.9	5	Pf	D1
10	655	20	675	0.97037037	0.02962963	1.31836E+11	8.070614258	1.043855593	0.5	5	Pf	B2
10	989	12	1001	0.988011988	0.011988012	1.95508E+11	8.639096825	1.043084634	0.5	5	Pf	C2
10	681	14	695	0.979856115	0.020143885	1.35742E+11	8.112739734	1.044875126	0.5	5	Pf	D2
10	288	13	301	0.956810631	0.043189369	58789062500	7.84999513	1.246381322	0.1	5	Pf	B3
10	232	9	241	0.962655602	0.037344398	47070312500	7.52926479	1.259147895	0.1	5	Pf	C3
10	207	19	226	0.915929204	0.084070796	44140625000	7.436554416	1.254349609	0.1	5	Pf	D3
10	1358	2	1360	0.998529412	0.001470588	2.65625E+11	7.939905653	1.014756782	0.9	5	Ec	E1
10	1732	10	1742	0.994259472	0.005740528	3.40234E+11	8.297043625	1.013593476	0.9	5	Ec	F1
10	1325	3	1328	0.997740964	0.002259036	2.59375E+11	7.905554148	1.014719981	0.9	5	Ec	G1
10	795	17	812	0.979064039	0.020935961	1.58594E+11	8.337206483	1.067345044	0.5	5	Ec	E2
10	847	13	860	0.984883721	0.015116279	1.67969E+11	8.420063416	1.067411772	0.5	5	Ec	F2
10	800	18	818	0.97799511	0.02200489	1.59766E+11	8.347827599	1.06711689	0.5	5	Ec	G2
10	229	16	245	0.934693878	0.065306122	47851562500	6.247510845	1.450326618	0.1	5	Ec	E3
10	217	21	238	0.911764706	0.088235294	46484375000	6.20569067	1.448157355	0.1	5	Ec	F3
10	300	23	323	0.92879257	0.07120743	63085937500	6.646263261	1.416982773	0.1	5	Ec	G3
